X,Y,Z
-2707027.987625,4688713.072368,3360432.558361
-2707027.940600,4688713.119392,3360432.605386
-2707027.892578,4688713.167415,3360432.653408
-2707027.843558,4688713.216435,3360432.702428
-2707022.613801,4688716.660085,3360431.223644
-2707027.719496,4688713.332556,3360432.796665
-2707027.667481,4688713.384571,3360432.848680
-2707027.614468,4688713.437584,3360432.901693
-2707027.560456,4688713.491596,3360432.955705
-2707027.505446,4688713.546606,3360433.010715
-2707027.449436,4688713.602616,3360433.066725
-2707027.392428,4688713.659624,3360433.123733
-2707027.334420,4688713.717632,3360433.181741
-2707027.275413,4688713.776639,3360433.240748
-2707025.682969,4688707.415019,3360438.324029
-2707027.146558,4688713.864787,3360433.387467
-2707027.084553,4688713.926793,3360433.449472
-2707027.021549,4688713.989797,3360433.512476
-2707026.957545,4688714.053801,3360433.576480
-2707026.892541,4688714.118805,3360433.641484
-2707026.826538,4688714.184808,3360433.707487
-2707026.759535,4688714.251811,3360433.774490
-2707026.691532,4688714.319814,3360433.842493
-2707026.622530,4688714.388816,3360433.911495
-2707027.684577,4688715.656451,3360434.589299
-2707026.487993,4688714.536663,3360434.055971
-2707026.415991,4688714.608664,3360434.127973
-2707026.342989,4688714.681666,3360434.200975
-2707026.268988,4688714.755667,3360434.274976
-2707026.193987,4688714.830669,3360434.349977
-2707026.117985,4688714.906670,3360434.425978
-2707026.040984,4688714.983671,3360434.502979
-2707025.962983,4688715.061672,3360434.580980
-2707025.883983,4688715.140673,3360434.659981
-2707024.765537,4688715.067549,3360427.173634
-2707025.716508,4688715.300719,3360434.773816
-2707025.634507,4688715.382720,3360434.855816
-2707025.551507,4688715.465721,3360434.938817
-2707025.467506,4688715.549721,3360435.022817
-2707025.382506,4688715.634721,3360435.107818
-2707025.296505,4688715.720722,3360435.193818
-2707025.209505,4688715.807722,3360435.280818
-2707025.121505,4688715.895723,3360435.368818
-2707025.032504,4688715.984723,3360435.457819
-2707025.600127,4688717.243925,3360433.387841
-2707024.855899,4688716.173538,3360435.624382
-2707024.763899,4688716.265538,3360435.716382
-2707024.670899,4688716.358539,3360435.809382
-2707024.576899,4688716.452539,3360435.903382
-2707024.481898,4688716.547539,3360435.998382
-2707024.385898,4688716.643539,3360436.094382
-2707024.288898,4688716.740539,3360436.191382
-2707024.190898,4688716.838539,3360436.289382
-2707024.091898,4688716.937539,3360436.388382
-2707021.096799,4688721.609599,3360439.263244
-2707023.870430,4688717.170863,3360436.608999
-2707023.768430,4688717.272863,3360436.710999
-2707023.665430,4688717.375863,3360436.813999
-2707023.561430,4688717.479863,3360436.917999
-2707023.456430,4688717.584863,3360437.022999
-2707023.350430,4688717.690863,3360437.128999
