X,Y,Z
-2706833.903312,4688907.023930,3360626.210874
-2706833.278313,4688907.648930,3360626.835873
-2706832.652313,4688908.274930,3360627.461871
-2706832.025313,4688908.901930,3360628.088870
-2706831.397313,4688909.529930,3360628.716869
-2706830.768313,4688910.158930,3360629.345868
-2706833.128878,4688910.884395,3360628.767267
-2706829.534312,4688911.420792,3360630.595954
-2706828.902312,4688912.052792,3360631.227953
-2706828.269312,4688912.685792,3360631.860951
-2706827.635312,4688913.319792,3360632.494950
-2706827.000312,4688913.954792,3360633.129949
-2706826.364313,4688914.590793,3360633.765947
-2706825.727313,4688915.227793,3360634.402946
-2706825.089313,4688915.865793,3360635.040945
-2706824.450313,4688916.504793,3360635.679943
-2706826.842265,4688920.117538,3360634.899156
-2706823.196685,4688917.812630,3360636.948114
-2706822.554685,4688918.454630,3360637.590113
-2706821.911686,4688919.097630,3360638.233112
-2706821.267686,4688919.741631,3360638.877110
-2706820.622686,4688920.386631,3360639.522109
-2706819.976686,4688921.032631,3360640.168108
-2706819.329686,4688921.679631,3360640.815106
-2706818.681686,4688922.327631,3360641.463105
-2706818.032687,4688922.976631,3360642.112104
-2706812.631553,4688924.620714,3360647.478450
-2706816.688795,4688924.286605,3360643.455679
-2706816.036795,4688924.938606,3360644.107678
-2706815.383795,4688925.591606,3360644.760676
-2706814.729795,4688926.245606,3360645.414675
-2706814.074795,4688926.900606,3360646.069673
-2706813.418796,4688927.556606,3360646.725672
-2706812.761796,4688928.213606,3360647.382671
-2706812.103796,4688928.871606,3360648.040669
-2706811.444796,4688929.530606,3360648.699668
-2706814.641292,4688926.012444,3360663.599288
-2706810.158612,4688930.813887,3360650.149217
-2706809.496612,4688931.475887,3360650.811216
-2706808.833612,4688932.138887,3360651.474215
-2706808.169612,4688932.802887,3360652.138213
-2706807.504613,4688933.467887,3360652.803212
-2706806.838613,4688934.133887,3360653.469210
-2706806.171613,4688934.800887,3360654.136209
-2706805.503613,4688935.468887,3360654.804208
-2706804.834613,4688936.137888,3360655.473206
-2706795.852835,4688935.082425,3360660.513985
-2706803.418577,4688937.463311,3360656.853662
-2706802.746577,4688938.135311,3360657.525660
-2706802.073577,4688938.808311,3360658.198659
-2706801.399577,4688939.482311,3360658.872658
-2706800.724577,4688940.157311,3360659.547656
-2706800.048577,4688940.833311,3360660.223655
-2706799.371578,4688941.510311,3360660.900653
-2706798.693578,4688942.188311,3360661.578652
-2706798.014578,4688942.867311,3360662.257651
-2706796.281971,4688941.262003,3360658.568096
-2706796.644076,4688944.207680,3360663.579200
-2706795.962076,4688944.889680,3360664.261199
-2706795.279076,4688945.572680,3360664.944198
-2706794.595076,4688946.256680,3360665.628196
-2706793.910076,4688946.941681,3360666.313195
-2706793.224076,4688947.627681,3360666.999193
-2706792.537077,4688948.314681,3360667.686192
-2706791.849077,4688949.002681,3360668.374190
-2706791.160077,4688949.691681,3360669.063189
-2706789.277681,4688948.581012,3360674.975334
-2706789.768312,4688951.056425,3360670.491331
-2706789.076313,4688951.748425,3360671.183329
-2706788.383313,4688952.441425,3360671.876328
-2706787.689313,4688953.135425,3360672.570326
-2706786.994313,4688953.830425,3360673.265325
-2706786.298313,4688954.526425,3360673.961323
-2706785.601313,4688955.223425,3360674.658322
-2706784.903314,4688955.921426,3360675.356320
-2706784.204314,4688956.620426,3360676.055319
-2706786.815882,4688952.806995,3360675.892166
-2706782.833210,4688957.980680,3360677.448524
-2706782.131210,4688958.682680,3360678.150522
-2706781.428211,4688959.385680,3360678.853521
-2706780.724211,4688960.089680,3360679.557519
-2706780.019211,4688960.794680,3360680.262518
-2706779.313211,4688961.500680,3360680.968516
-2706778.606211,4688962.207680,3360681.675515
-2706777.898211,4688962.915680,3360682.383513
-2706777.189212,4688963.624680,3360683.092512
-2706776.472526,4688962.872291,3360690.529346
-2706775.768152,4688965.032478,3360684.574237
-2706775.056152,4688965.744478,3360685.286236
-2706774.343152,4688966.457478,3360685.999235
-2706773.629152,4688967.171478,3360686.713233
-2706772.914152,4688967.886479,3360687.428232
-2706772.198152,4688968.602479,3360688.144230
-2706771.481153,4688969.319479,3360688.861229
-2706770.763153,4688970.037479,3360689.579227
-2706770.044153,4688970.756479,3360690.298226
-2706767.620993,4688974.114034,3360690.857247
-2706768.587777,4688972.221290,3360691.737769
-2706767.865778,4688972.943290,3360692.459768
-2706767.142778,4688973.666290,3360693.182766
-2706766.418778,4688974.390291,3360693.906765
-2706765.693778,4688975.115291,3360694.631763
-2706764.967778,4688975.841291,3360695.357762
-2706764.240778,4688976.568291,3360696.084760
-2706763.512779,4688977.296291,3360696.812759
-2706762.783779,4688978.025291,3360697.541757
-2706760.673649,4688980.005187,3360700.193893
-2706761.310320,4688979.497575,3360699.020107
-2706760.578320,4688980.229575,3360699.752105
-2706759.845320,4688980.962575,3360700.485104
-2706759.111320,4688981.696575,3360701.219102
-2706758.376320,4688982.431575,3360701.954101
-2706757.640320,4688983.167575,3360702.690099
-2706756.903321,4688983.904575,3360703.427098
-2706756.165321,4688984.642576,3360704.165096
-2706755.426321,4688985.381576,3360704.904095
-2706754.072590,4688986.483067,3360712.300944
-2706753.939781,4688986.865839,3360706.445188
-2706753.197781,4688987.607839,3360707.187187
-2706752.454781,4688988.350839,3360707.930185
-2706751.710781,4688989.094840,3360708.674184
-2706750.965781,4688989.839840,3360709.419182
-2706750.219782,4688990.585840,3360710.165181
-2706749.472782,4688991.332840,3360710.912179
-2706748.724782,4688992.080840,3360711.660177
-2706747.975782,4688992.829840,3360712.409176
-2706745.569289,4688993.181623,3360707.631285
-2706746.459828,4688994.327245,3360713.860268
-2706745.707828,4688995.079245,3360714.612267
-2706744.954828,4688995.832245,3360715.365265
-2706744.200828,4688996.586245,3360716.119263
-2706743.445829,4688997.341245,3360716.874262
-2706742.689829,4688998.097245,3360717.630260
-2706741.932829,4688998.854246,3360718.387259
-2706741.174829,4688999.612246,3360719.145257
-2706740.415829,4689000.371246,3360719.904256
-2706733.921604,4688995.137680,3360714.108469
-2706738.843062,4689001.838137,3360721.366068
-2706738.081062,4689002.600137,3360722.128067
-2706737.318063,4689003.363137,3360722.891065
-2706736.554063,4689004.127137,3360723.655063
-2706735.789063,4689004.892137,3360724.420062
-2706735.023063,4689005.658138,3360725.186060
-2706734.256063,4689006.425138,3360725.953059
-2706733.488063,4689007.193138,3360726.721057
-2706732.719064,4689007.962138,3360727.490055
-2706723.611794,4689006.755814,3360725.124487
-2706731.102797,4689009.485296,3360729.002745
-2706730.330797,4689010.257296,3360729.774743
-2706729.557797,4689011.030296,3360730.547742
-2706728.783797,4689011.804296,3360731.321740
-2706728.008797,4689012.579296,3360732.096739
-2706727.232798,4689013.355296,3360732.872737
-2706726.455798,4689014.132296,3360733.649735
-2706725.677798,4689014.910297,3360734.427734
-2706724.898798,4689015.689297,3360735.206732
-2706716.827688,4689020.953630,3360743.601994
-2706723.271976,4689017.290780,3360736.836478
-2706722.489976,4689018.072780,3360737.618476
-2706721.706976,4689018.855781,3360738.401475
-2706720.922976,4689019.639781,3360739.185473
-2706720.137976,4689020.424781,3360739.970471
-2706719.351976,4689021.210781,3360740.756470
-2706718.564977,4689021.997781,3360741.543468
-2706717.776977,4689022.785781,3360742.331466
-2706716.987977,4689023.574781,3360743.120465
-2706712.463176,4689024.595089,3360745.537865
-2706715.373260,4689025.157860,3360744.716153
-2706714.581260,4689025.949860,3360745.508152
-2706713.788261,4689026.742860,3360746.301150
-2706712.994261,4689027.536860,3360747.095148
-2706712.199261,4689028.331861,3360747.890147
-2706711.403261,4689029.127861,3360748.686145
-2706710.606261,4689029.924861,3360749.483143
-2706709.808261,4689030.722861,3360750.281142
-2706709.009261,4689031.521861,3360751.080140
-2706708.206904,4689029.843081,3360750.802031
-2706707.408240,4689033.100483,3360752.671404
-2706706.606241,4689033.902483,3360753.473402
-2706705.803241,4689034.705483,3360754.276400
-2706704.999241,4689035.509483,3360755.080399
-2706704.194241,4689036.314483,3360755.885397
-2706703.388241,4689037.120483,3360756.691395
-2706702.581241,4689037.927483,3360757.498393
-2706701.773242,4689038.735483,3360758.306392
-2706700.964242,4689039.544483,3360759.115390
-2706699.166630,4689042.217729,3360761.548005
-2706699.334326,4689041.182305,3360760.751035
-2706698.522326,4689041.994305,3360761.563034
-2706697.709326,4689042.807305,3360762.376032
-2706696.895326,4689043.621305,3360763.190030
-2706696.080327,4689044.436305,3360764.005028
-2706695.264327,4689045.252305,3360764.821027
-2706694.447327,4689046.069305,3360765.638025
-2706693.629327,4689046.887305,3360766.456023
-2706692.810327,4689047.706305,3360767.275021
-2706690.522153,4689042.332756,3360767.546306
-2706691.156073,4689049.291391,3360768.911064
-2706690.334073,4689050.113391,3360769.733062
-2706689.511073,4689050.936391,3360770.556061
-2706688.687074,4689051.760391,3360771.380059
-2706687.862074,4689052.585391,3360772.205057
-2706687.036074,4689053.411391,3360773.031055
-2706686.209074,4689054.238391,3360773.858054
-2706685.381074,4689055.066391,3360774.686052
-2706684.552074,4689055.895391,3360775.515050
-2706684.428975,4689063.225139,3360769.182475
-2706682.897456,4689057.615070,3360777.111384
-2706682.065457,4689058.447070,3360777.943382
-2706681.232457,4689059.280070,3360778.776381
-2706680.398457,4689060.114070,3360779.610379
-2706679.563457,4689060.949070,3360780.445377
-2706678.727457,4689061.785070,3360781.281375
-2706677.890457,4689062.622070,3360782.118373
-2706677.052457,4689063.460070,3360782.956371
-2706676.213458,4689064.299071,3360783.795370
-2706672.372366,4689059.296010,3360791.611557
-2706674.505365,4689065.927321,3360785.539346
-2706673.663365,4689066.769321,3360786.381344
-2706672.820365,4689067.612321,3360787.224342
-2706671.976365,4689068.456321,3360788.068340
-2706671.131365,4689069.301321,3360788.913338
-2706670.285365,4689070.147321,3360789.759336
-2706669.438366,4689070.994321,3360790.606335
-2706668.590366,4689071.842321,3360791.454333
-2706667.741366,4689072.691321,3360792.303331
-2706670.591141,4689070.639130,3360794.730471
-2706666.073767,4689074.366121,3360794.018565
-2706665.221767,4689075.218121,3360794.870563
-2706664.368767,4689076.071121,3360795.723561
-2706663.514767,4689076.925121,3360796.577560
-2706662.659768,4689077.780121,3360797.432558
-2706661.803768,4689078.636121,3360798.288556
-2706660.946768,4689079.493121,3360799.145554
-2706660.088768,4689080.351121,3360800.003552
-2706659.229768,4689081.210121,3360800.862550
-2706655.904093,4689075.001548,3360801.050976
-2706657.486509,4689082.867308,3360802.577483
-2706656.624509,4689083.729308,3360803.439482
-2706655.761509,4689084.592308,3360804.302480
-2706654.897509,4689085.456308,3360805.166478
-2706654.032509,4689086.321308,3360806.031476
-2706653.166510,4689087.187308,3360806.897474
-2706652.299510,4689088.054308,3360807.764472
-2706651.431510,4689088.922308,3360808.632470
-2706650.562510,4689089.791309,3360809.501468
-2706657.764112,4689088.609221,3360811.139792
-2706648.894379,4689091.513783,3360811.249400
-2706648.022379,4689092.385783,3360812.121398
-2706647.149380,4689093.258783,3360812.994396
-2706646.275380,4689094.132783,3360813.868394
-2706645.400380,4689095.007783,3360814.743392
-2706644.524380,4689095.883783,3360815.619390
-2706643.647380,4689096.760783,3360816.496388
-2706642.769380,4689097.638783,3360817.374386
-2706641.890380,4689098.517783,3360818.253384
-2706637.527487,4689098.845605,3360816.272618
-2706640.097938,4689100.273799,3360819.988554
-2706639.215938,4689101.155799,3360820.870552
-2706638.332938,4689102.038799,3360821.753550
-2706637.448938,4689102.922799,3360822.637548
-2706636.563939,4689103.807799,3360823.522546
-2706635.677939,4689104.693799,3360824.408544
-2706634.790939,4689105.580799,3360825.295542
-2706633.902939,4689106.468799,3360826.183540
-2706633.013939,4689107.357799,3360827.072538
-2706629.729078,4689110.226330,3360833.232215
-2706631.211319,4689109.156661,3360828.901107
-2706630.319319,4689110.048661,3360829.793105
-2706629.426320,4689110.941661,3360830.686103
-2706628.532320,4689111.835661,3360831.580101
-2706627.637320,4689112.730661,3360832.475099
-2706626.741320,4689113.626662,3360833.371097
-2706625.844320,4689114.523662,3360834.268095
-2706624.946320,4689115.421662,3360835.166093
-2706624.047320,4689116.320662,3360836.065091
-2706624.576589,4689121.831573,3360838.675014
-2706622.259224,4689118.163288,3360837.881524
-2706621.357224,4689119.065288,3360838.783521
-2706620.454224,4689119.968289,3360839.686519
-2706619.550224,4689120.872289,3360840.590517
-2706618.645225,4689121.777289,3360841.495515
-2706617.739225,4689122.683289,3360842.401513
-2706616.832225,4689123.590289,3360843.308511
-2706615.924225,4689124.498289,3360844.216509
-2706615.015225,4689125.407289,3360845.125507
-2706618.371307,4689126.166567,3360852.044057
-2706613.232739,4689127.226928,3360847.000746
-2706612.320739,4689128.138929,3360847.912744
-2706611.407739,4689129.051929,3360848.825742
-2706610.493739,4689129.965929,3360849.739740
-2706609.578739,4689130.880929,3360850.654738
-2706608.662740,4689131.796929,3360851.570736
-2706607.745740,4689132.713929,3360852.487734
-2706606.827740,4689133.631929,3360853.405731
-2706605.908740,4689134.550929,3360854.324729
-2706599.213204,4689129.472104,3360852.834604
-2706604.015600,4689136.337773,3360856.143967
-2706603.093600,4689137.259773,3360857.065965
-2706602.170600,4689138.182773,3360857.988962
-2706601.246600,4689139.106773,3360858.912960
-2706600.321601,4689140.031773,3360859.837958
-2706599.395601,4689140.957773,3360860.763956
-2706598.468601,4689141.884773,3360861.690954
-2706597.540601,4689142.812774,3360862.618951
-2706596.611601,4689143.741774,3360863.547949
-2706589.513865,4689149.447818,3360873.275719
-2706594.694920,4689145.645891,3360865.488369
-2706593.762921,4689146.577891,3360866.420367
-2706592.829921,4689147.510891,3360867.353365
-2706591.895921,4689148.444891,3360868.287363
-2706590.960921,4689149.379891,3360869.222360
-2706590.024921,4689150.315891,3360870.158358
-2706589.087921,4689151.252891,3360871.095356
-2706588.149921,4689152.190891,3360872.033354
-2706587.210922,4689153.129891,3360872.972351
-2706587.877323,4689157.010275,3360884.986182
-2706585.344424,4689155.037437,3360874.953319
-2706584.402424,4689155.979437,3360875.895317
-2706583.459424,4689156.922437,3360876.838315
-2706582.515425,4689157.866437,3360877.782312
-2706581.570425,4689158.811437,3360878.727310
-2706580.624425,4689159.757437,3360879.673308
-2706579.677425,4689160.704437,3360880.620306
-2706578.729425,4689161.652437,3360881.568303
-2706577.780425,4689162.601437,3360882.517301
-2706579.040569,4689163.078356,3360892.163410
-2706575.899378,4689164.498167,3360884.496803
-2706574.947378,4689165.450167,3360885.448801
-2706573.994378,4689166.403167,3360886.401799
-2706573.040379,4689167.357167,3360887.355796
-2706572.085379,4689168.312167,3360888.310794
-2706571.129379,4689169.268167,3360889.266792
-2706570.172379,4689170.225167,3360890.223789
-2706569.214379,4689171.183167,3360891.181787
-2706568.255379,4689172.142167,3360892.140785
-2706569.568790,4689175.467320,3360896.780545
-2706566.354903,4689174.084519,3360894.095000
-2706565.392903,4689175.046519,3360895.056998
-2706564.429904,4689176.009519,3360896.019995
-2706563.465904,4689176.973519,3360896.983993
-2706562.500904,4689177.938519,3360897.948991
-2706561.534904,4689178.904519,3360898.914988
-2706560.567904,4689179.871519,3360899.881986
-2706559.599904,4689180.839519,3360900.849983
-2706558.630904,4689181.808519,3360901.818981
-2706559.348877,4689180.787311,3360901.861771
-2706556.705143,4689183.731543,3360903.751606
-2706555.733143,4689184.703543,3360904.723603
-2706554.760143,4689185.676543,3360905.696601
-2706553.786144,4689186.650543,3360906.670598
-2706552.811144,4689187.625543,3360907.645596
-2706551.835144,4689188.601543,3360908.621594
-2706550.858144,4689189.578543,3360909.598591
-2706549.880144,4689190.556544,3360910.576589
-2706548.901144,4689191.535544,3360911.555586
-2706546.195730,4689199.758553,3360909.125209
-2706546.924568,4689193.561932,3360913.485793
-2706545.942568,4689194.543932,3360914.467791
-2706544.959568,4689195.526932,3360915.450788
-2706543.975568,4689196.510932,3360916.434786
-2706542.990568,4689197.495932,3360917.419783
-2706542.004568,4689198.481932,3360918.405781
-2706541.017568,4689199.468932,3360919.392779
-2706540.029568,4689200.456932,3360920.380776
-2706539.040568,4689201.445932,3360921.369774
